title,singer,music_director,actor,genre,language,movie_name,album,year,duration_seconds,audio_file_path,moods
Lachuvamma Lachuvamma,"Deepu, Shravana Bhargavi, Rahul",,,Telugu,Telugu,,,,,songs/deepu_shravana_bhargavi_rahul_lachuvamma_lachuvamma.mp3,feel good
Bekheyali Mone,Shadaab Hashmi,,,Telugu,Telugu,,Romeo v/s Juliet (Original Motion Picture Soundtrack),,274,songs/shadaab_hashmi_bekheyali_mone.mp3,feel good
Ada Machamulla,S.P. பாலசுப்பிரமணியம் & S. ஜானகி,,,Telugu,Telugu,,,,,songs/sp_பலசபபரமணயம_s_ஜனக_ada_machamulla.mp3,feel good
Idhi Oka Nandanavanam,"Chiranjeevi, Radha",,,Telugu,Telugu,,,,,songs/chiranjeevi_radha_idhi_oka_nandanavanam.mp3,feel good
Mere Rang Mein Rangne Wali,SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_mere_rang_mein_rangne_wali.mp3,romantic
Tumse Milne Ki Tamanna Hai,SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_tumse_milne_ki_tamanna_hai.mp3,romantic
Vaangum Panathukkum,SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_vaangum_panathukkum.mp3,romantic
Mannil Indha Kaadhal,SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_mannil_indha_kaadhal.mp3,romantic
Tharumukosthundi Samayam [www.AtoZmp3.net],SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_tharumukosthundi_samayam_wwwatozmp3net.mp3,romantic
Nee Prashnalu,SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_nee_prashnalu.mp3,romantic
Vaa Vaa Pakkam Vaa (Remix),SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_vaa_vaa_pakkam_vaa_remix.mp3,romantic
"Bahut Pyar Karte Hai (Male Version) (From ""Saajan"")",SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_bahut_pyar_karte_hai_male_version_from_saajan.mp3,romantic
Pehli Baar Mile Hain,SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_pehli_baar_mile_hain.mp3,romantic
Tere Mere Beech Mein,SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_tere_mere_beech_mein.mp3,romantic
Vathikuchi Pathikadhuda,SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_vathikuchi_pathikadhuda.mp3,romantic
En Kadhalae,SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_en_kadhalae.mp3,sad
Dance Dance,SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_dance_dance.mp3,party
Sorgam Madhuvile,SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_sorgam_madhuvile.mp3,romantic
Hallo Guru,SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_hallo_guru.mp3,romantic
Aamani,SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_aamani.mp3,romantic
Taralirada,SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_taralirada.mp3,romantic
Mattiloni Chettu,SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_mattiloni_chettu.mp3,romantic
Maanguyilae,SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_maanguyilae.mp3,romantic
Vaa! Naailukku Naall,SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_vaa_naailukku_naall.mp3,romantic
Pehla Pehla Pyar,SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_pehla_pehla_pyar.mp3,romantic
Kalyanamalai Video Song HD,SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_kalyanamalai_video_song_hd.mp3,romantic
Yevadu Neevu [www.AtoZmp3.Net],SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_yevadu_neevu_wwwatozmp3net.mp3,romantic
Vo Rabba Rabba - TeluguWap.Net,SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_vo_rabba_rabba_teluguwapnet.mp3,romantic
